symbol,name,open,high,low,close,volume,strike,category,exchange_id
PETRJ306W4,"PETROBRAS PN, R$ 30.68, 25-10-2024",5.39,5.49,5.32,5.32,300,30.68,CALL,BOVESPA
PETRV306W4,"PETROBRAS PN, R$ 30.68, 25-10-2024",0.0,0.0,0.0,0.01,0,30.68,PUT,BOVESPA
PETRJ311W4,"PETROBRAS PN, R$ 31.18, 25-10-2024",4.88,4.98,4.83,4.83,300,31.18,CALL,BOVESPA
PETRV311W4,"PETROBRAS PN, R$ 31.18, 25-10-2024",0.0,0.0,0.0,0.01,0,31.18,PUT,BOVESPA
PETRJ316W4,"PETROBRAS PN, R$ 31.68, 25-10-2024",4.38,4.5,4.35,4.35,300,31.68,CALL,BOVESPA
PETRV316W4,"PETROBRAS PN, R$ 31.68, 25-10-2024",0.0,0.0,0.0,0.01,0,31.68,PUT,BOVESPA
PETRJ321W4,"PETROBRAS PN, R$ 32.18, 25-10-2024",3.88,4.02,3.88,4.02,200,32.18,CALL,BOVESPA
PETRV321W4,"PETROBRAS PN, R$ 32.18, 25-10-2024",0.01,0.01,0.01,0.01,100,32.18,PUT,BOVESPA
PETRJ326W4,"PETROBRAS PN, R$ 32.68, 25-10-2024",3.36,3.51,3.36,3.51,400,32.68,CALL,BOVESPA
PETRV326W4,"PETROBRAS PN, R$ 32.68, 25-10-2024",0.0,0.0,0.0,0.01,0,32.68,PUT,BOVESPA
PETRJ331W4,"PETROBRAS PN, R$ 33.18, 25-10-2024",2.86,3.0,2.83,2.83,3500,33.18,CALL,BOVESPA
PETRV331W4,"PETROBRAS PN, R$ 33.18, 25-10-2024",0.0,0.0,0.0,0.01,0,33.18,PUT,BOVESPA
PETRJ336W4,"PETROBRAS PN, R$ 33.68, 25-10-2024",2.36,2.51,2.32,2.34,600,33.68,CALL,BOVESPA
PETRV336W4,"PETROBRAS PN, R$ 33.68, 25-10-2024",0.0,0.0,0.0,0.01,0,33.68,PUT,BOVESPA
PETRJ341W4,"PETROBRAS PN, R$ 34.18, 25-10-2024",1.86,2.02,1.82,1.84,3800,34.18,CALL,BOVESPA
PETRV341W4,"PETROBRAS PN, R$ 34.18, 25-10-2024",0.0,0.0,0.0,0.01,0,34.18,PUT,BOVESPA
PETRJ346W4,"PETROBRAS PN, R$ 34.68, 25-10-2024",1.34,1.52,1.32,1.32,29300,34.68,CALL,BOVESPA
PETRV346W4,"PETROBRAS PN, R$ 34.68, 25-10-2024",0.0,0.0,0.0,0.01,0,34.68,PUT,BOVESPA
PETRJ351W4,"PETROBRAS PN, R$ 35.18, 25-10-2024",0.86,1.05,0.73,0.83,66600,35.18,CALL,BOVESPA
PETRV351W4,"PETROBRAS PN, R$ 35.18, 25-10-2024",0.0,0.0,0.0,0.02,0,35.18,PUT,BOVESPA
PETRJ356W4,"PETROBRAS PN, R$ 35.68, 25-10-2024",0.39,0.55,0.22,0.35,170900,35.68,CALL,BOVESPA
PETRV356W4,"PETROBRAS PN, R$ 35.68, 25-10-2024",0.05,0.05,0.01,0.01,123600,35.68,PUT,BOVESPA
PETRJ361W4,"PETROBRAS PN, R$ 36.18, 25-10-2024",0.07,0.14,0.01,0.01,1181600,36.18,CALL,BOVESPA
PETRV361W4,"PETROBRAS PN, R$ 36.18, 25-10-2024",0.23,0.3,0.07,0.19,289200,36.18,PUT,BOVESPA
PETRJ366W4,"PETROBRAS PN, R$ 36.68, 25-10-2024",0.01,0.03,0.01,0.01,34500,36.68,CALL,BOVESPA
PETRV366W4,"PETROBRAS PN, R$ 36.68, 25-10-2024",0.65,0.8,0.48,0.68,175600,36.68,PUT,BOVESPA
PETRJ371W4,"PETROBRAS PN, R$ 37.18, 25-10-2024",0.01,0.01,0.01,0.01,3200,37.18,CALL,BOVESPA
PETRV371W4,"PETROBRAS PN, R$ 37.18, 25-10-2024",1.03,1.3,0.96,1.18,227700,37.18,PUT,BOVESPA
PETRJ376W4,"PETROBRAS PN, R$ 37.68, 25-10-2024",0.01,0.01,0.01,0.01,700,37.68,CALL,BOVESPA
PETRV376W4,"PETROBRAS PN, R$ 37.68, 25-10-2024",1.65,1.78,1.48,1.78,119100,37.68,PUT,BOVESPA
PETRJ381W4,"PETROBRAS PN, R$ 38.18, 25-10-2024",0.01,0.01,0.01,0.01,4200,38.18,CALL,BOVESPA
PETRV381W4,"PETROBRAS PN, R$ 38.18, 25-10-2024",2.14,2.25,1.96,2.21,211400,38.18,PUT,BOVESPA
PETRJ386W4,"PETROBRAS PN, R$ 38.68, 25-10-2024",0.0,0.0,0.0,0.01,0,38.68,CALL,BOVESPA
PETRV386W4,"PETROBRAS PN, R$ 38.68, 25-10-2024",2.65,2.77,2.5,2.65,339800,38.68,PUT,BOVESPA
PETRJ391W4,"PETROBRAS PN, R$ 39.18, 25-10-2024",0.0,0.0,0.0,0.01,0,39.18,CALL,BOVESPA
PETRV391W4,"PETROBRAS PN, R$ 39.18, 25-10-2024",3.0,3.15,3.0,3.15,8000,39.18,PUT,BOVESPA
PETRJ396W4,"PETROBRAS PN, R$ 39.68, 25-10-2024",0.0,0.0,0.0,0.01,0,39.68,CALL,BOVESPA
PETRV396W4,"PETROBRAS PN, R$ 39.68, 25-10-2024",3.66,3.7,3.61,3.7,4000,39.68,PUT,BOVESPA
PETRJ401W4,"PETROBRAS PN, R$ 40.18, 25-10-2024",0.0,0.0,0.0,0.01,0,40.18,CALL,BOVESPA
PETRV401W4,"PETROBRAS PN, R$ 40.18, 25-10-2024",4.15,4.15,4.13,4.13,200,40.18,PUT,BOVESPA
PETRJ406W4,"PETROBRAS PN, R$ 40.68, 25-10-2024",0.0,0.0,0.0,0.01,0,40.68,CALL,BOVESPA
PETRV406W4,"PETROBRAS PN, R$ 40.68, 25-10-2024",4.5,4.5,4.5,4.5,2500,40.68,PUT,BOVESPA
PETRJ411W4,"PETROBRAS PN, R$ 41.18, 25-10-2024",0.0,0.0,0.0,0.01,0,41.18,CALL,BOVESPA
PETRV411W4,"PETROBRAS PN, R$ 41.18, 25-10-2024",0.0,0.0,0.0,5.4,0,41.18,PUT,BOVESPA
PETRJ416W4,"PETROBRAS PN, R$ 41.68, 25-10-2024",0.0,0.0,0.0,0.01,0,41.68,CALL,BOVESPA
PETRV416W4,"PETROBRAS PN, R$ 41.68, 25-10-2024",0.0,0.0,0.0,6.01,0,41.68,PUT,BOVESPA
PETRJ421W4,"PETROBRAS PN, R$ 42.18, 25-10-2024",0.0,0.0,0.0,0.01,0,42.18,CALL,BOVESPA
PETRV421W4,"PETROBRAS PN, R$ 42.18, 25-10-2024",0.0,0.0,0.0,6.55,0,42.18,PUT,BOVESPA
PETRK290W1,"PETROBRAS PN, R$ 29.00, 01-11-2024",0.0,0.0,0.0,0.0,0,29.0,CALL,BOVESPA
PETRW290W1,"PETROBRAS PN, R$ 29.00, 01-11-2024",0.0,0.0,0.0,0.01,0,29.0,PUT,BOVESPA
PETRK295W1,"PETROBRAS PN, R$ 29.50, 01-11-2024",0.0,0.0,0.0,6.22,0,29.5,CALL,BOVESPA
PETRW295W1,"PETROBRAS PN, R$ 29.50, 01-11-2024",0.0,0.0,0.0,0.0,0,29.5,PUT,BOVESPA
PETRK300W1,"PETROBRAS PN, R$ 30.00, 01-11-2024",0.0,0.0,0.0,0.0,0,30.0,CALL,BOVESPA
PETRW300W1,"PETROBRAS PN, R$ 30.00, 01-11-2024",0.0,0.0,0.0,0.01,0,30.0,PUT,BOVESPA
PETRK305W1,"PETROBRAS PN, R$ 30.50, 01-11-2024",0.0,0.0,0.0,5.27,0,30.5,CALL,BOVESPA
PETRW305W1,"PETROBRAS PN, R$ 30.50, 01-11-2024",0.01,0.01,0.01,0.01,4000,30.5,PUT,BOVESPA
PETRK310W1,"PETROBRAS PN, R$ 31.00, 01-11-2024",0.0,0.0,0.0,4.79,0,31.0,CALL,BOVESPA
PETRW310W1,"PETROBRAS PN, R$ 31.00, 01-11-2024",0.01,0.01,0.01,0.01,8500,31.0,PUT,BOVESPA
